Indicator Code,Indicator Name,Compressed Name
DT.ODA.ODAT.GI.ZS,Net ODA received (% of gross capital formation),
DT.ODA.ODAT.MP.ZS,"Net ODA received (% of imports of goods, services and primary income)",
EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),
EN.ATM.CO2E.PC,CO2 emissions (metric tons per capita),
EN.ATM.CO2E.PP.GD,CO2 emissions (kg per PPP $ of GDP),
GC.XPN.COMP.ZS,Compensation of employees (% of expense),
GC.XPN.TOTL.GD.ZS,Expense (% of GDP),
IC.BUS.DISC.XQ,Business extent of disclosure index (0=less disclosure to 10=more disclosure),
IC.BUS.NDNS.ZS,"New business density (new registrations per 1,000 people ages 15-64)",
IC.CRD.PRVT.ZS,Private credit bureau coverage (% of adults),
IC.CRD.PUBL.ZS,Public credit registry coverage (% of adults),
IC.IMP.TMBC,"Time to import, border compliance (hours)",
IC.ISV.DURS,Time to resolve insolvency (years),
IC.LGL.CRED.XQ,Strength of legal rights index (0=weak to 12=strong),
IC.PRP.PROC,Procedures to register property (number),
IQ.SPI.OVRL,Statistical performance indicators (SPI): Overall score (scale 0-100),
IT.NET.BBND.P2,Fixed broadband subscriptions (per 100 people),
NV.AGR.EMPL.KD,"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",
NV.MNF.FBTO.ZS.UN,"Food, beverages and tobacco (% of value added in manufacturing)",
NV.MNF.MTRN.ZS.UN,Machinery and transport equipment (% of value added in manufacturing),
NV.MNF.OTHR.ZS.UN,Other manufacturing (% of value added in manufacturing),
NV.MNF.TXTL.ZS.UN,Textiles and clothing (% of value added in manufacturing),
SE.PRE.ENRL.TC.ZS,"Pupil-teacher ratio, preprimary",
SE.PRM.CMPT.FE.ZS,"Primary completion rate, female (% of relevant age group)",
SE.PRM.CMPT.ZS,"Primary completion rate, total (% of relevant age group)",
SE.PRM.ENRL.FE.ZS,"Primary education, pupils (% female)",
SE.PRM.GINT.FE.ZS,"Gross intake ratio in first grade of primary education, female (% of relevant age group)",
SE.PRM.GINT.MA.ZS,"Gross intake ratio in first grade of primary education, male (% of relevant age group)",
SE.PRM.GINT.ZS,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",
SE.PRM.NENR,"School enrollment, primary (% net)",
SE.PRM.OENR.FE.ZS,"Over-age students, primary, female (% of female enrollment)",
SE.PRM.OENR.MA.ZS,"Over-age students, primary, male (% of male enrollment)",
SE.PRM.OENR.ZS,"Over-age students, primary (% of enrollment)",
SE.PRM.PRSL.FE.ZS,"Persistence to last grade of primary, female (% of cohort)",
SE.PRM.REPT.FE.ZS,"Repeaters, primary, female (% of female enrollment)",
SE.PRM.REPT.MA.ZS,"Repeaters, primary, male (% of male enrollment)",
SE.PRM.REPT.ZS,"Repeaters, primary, total (% of total enrollment)",
SE.PRM.TENR,"Adjusted net enrollment rate, primary (% of primary school age children)",
SE.PRM.UNER.ZS,Children out of school (% of primary school age),
SE.SEC.ENRL.FE.ZS,"Secondary education, pupils (% female)",
SE.SEC.ENRL.GC.FE.ZS,"Secondary education, general pupils (% female)",
SE.SEC.ENRL.TC.ZS,"Pupil-teacher ratio, secondary",
SE.SEC.ENRL.VO.FE.ZS,"Secondary education, vocational pupils (% female)",
SE.SEC.ENRR,"School enrollment, secondary (% gross)",
SE.SEC.ENRR.MA,"School enrollment, secondary, male (% gross)",
SE.SEC.NENR.FE,"School enrollment, secondary, female (% net)",
SE.SEC.UNER.LO.ZS,Adolescents out of school (% of lower secondary school age),
SE.TER.ENRL.TC.ZS,"Pupil-teacher ratio, tertiary",
SE.TER.ENRR,"School enrollment, tertiary (% gross)",
SE.TER.ENRR.FE,"School enrollment, tertiary, female (% gross)",
SE.TER.ENRR.MA,"School enrollment, tertiary, male (% gross)",
SH.ANM.ALLW.ZS,Prevalence of anemia among women of reproductive age (% of women ages 15-49),
SH.ANM.NPRG.ZS,Prevalence of anemia among non-pregnant women (% of women ages 15-49),
SH.H2O.BASW.UR.ZS,"People using at least basic drinking water services, urban (% of urban population)",
SH.STA.SMSS.UR.ZS,"People using safely managed sanitation services, urban (% of urban population)",
SH.STA.SUIC.FE.P5,"Suicide mortality rate, female (per 100,000 female population)",
SL.EMP.TOTL.SP.MA.NE.ZS,"Employment to population ratio, 15+, male (%) (national estimate)",
SL.TLF.ACTI.1524.MA.NE.ZS,"Labor force participation rate for ages 15-24, male (%) (national estimate)",
SL.TLF.ACTI.1524.MA.ZS,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",
SL.TLF.INTM.FE.ZS,"Labor force with intermediate education, female (% of female working-age population with intermediate education)",
SL.TLF.INTM.ZS,Labor force with intermediate education (% of total working-age population with intermediate education),
SL.UEM.ADVN.FE.ZS,"Unemployment with advanced education, female (% of female labor force with advanced education)",
SL.UEM.ADVN.MA.ZS,"Unemployment with advanced education, male (% of male labor force with advanced education)",
SL.UEM.ADVN.ZS,Unemployment with advanced education (% of total labor force with advanced education),
SL.UEM.BASC.MA.ZS,"Unemployment with basic education, male (% of male labor force with basic education)",
SL.UEM.BASC.ZS,Unemployment with basic education (% of total labor force with basic education),
SL.UEM.INTM.MA.ZS,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",
SL.UEM.INTM.ZS,Unemployment with intermediate education (% of total labor force with intermediate education),
SL.UEM.NEET.MA.ZS,"Share of youth not in education, employment or training, male (% of male youth population)",
SL.UEM.TOTL.MA.NE.ZS,"Unemployment, male (% of male labor force) (national estimate)",
SL.UEM.TOTL.MA.ZS,"Unemployment, male (% of male labor force) (modeled ILO estimate)",
SP.POP.6569.MA.5Y,"Population ages 65-69, male (% of male population)",
SP.POP.65UP.FE.ZS,"Population ages 65 and above, female (% of female population)",
SP.POP.65UP.MA.ZS,"Population ages 65 and above, male (% of male population)",
SP.POP.65UP.TO.ZS,Population ages 65 and above (% of total population),
SP.POP.7074.FE.5Y,"Population ages 70-74, female (% of female population)",
SP.POP.7074.MA.5Y,"Population ages 70-74, male (% of male population)",
SP.POP.7579.FE.5Y,"Population ages 75-79, female (% of female population)",
SP.POP.7579.MA.5Y,"Population ages 75-79, male (% of male population)",
SP.POP.80UP.FE.5Y,"Population ages 80 and above, female (% of female population)",
SP.POP.80UP.MA.5Y,"Population ages 80 and above, male (% of male population)",
SP.POP.DPND.OL,"Age dependency ratio, old (% of working-age population)",
