Series Code,Topic,Indicator Name,iso1_all,iso2_all,iso3_all,iso4_all,iso5_all,iso6_all,iso7_all,iso8_all,iso9_all,iso10_all,iso1_0to25,N_0to25,Pearson_iso1_0to25,range_0to25,iso1_25to50,N_25to50,Pearson_iso1_25to50,range_25to50,iso1_50to75,N_50to75,Pearson_iso1_50to75,range_50to75,iso1_75to100,N_75to100,Pearson_iso1_75to100,range_75to100
AG.AGR.TRAC.NO,Environment: Agricultural production,"Agricultural machinery, tractors",,,,,,,,,,,0.311487499247208,247,0.242414407040807,-2.151 to -0.732,0.198892053864015,401,-0.0943593855859063,-0.728 to -0.004,0.274799299232926,311,0.0469000687748877,-0.004 to 0.782,0.271582059253286,451,0.125093966529028,0.785 to 1.868
AG.CON.FERT.PT.ZS,Environment: Agricultural production,Fertilizer consumption (% of fertilizer production),,,,,,,,,,,0.395776757870109,126,-0.318584703188277,-2.151 to -0.732,0.161117489854301,423,-0.0416490411448856,-0.728 to -0.004,0.192849766262744,762,-0.0817730089119272,-0.004 to 0.782,0.102372899487804,852,0.0369702591425975,0.785 to 1.868
AG.CON.FERT.ZS,Environment: Agricultural production,Fertilizer consumption (kilograms per hectare of arable land),0.459213500492192,0.238923058616344,0.150975142401048,0.0868319438102966,0.270215010681722,0.120424531070446,0.141770344143445,0.12936455656704,0.110881292112393,0.100569687025558,0.355242310385942,839,0.387217217996075,-2.151 to -0.732,0.2322180257569,1001,0.232956551482078,-0.728 to -0.004,0.213485130045301,1119,0.196158371076076,-0.004 to 0.782,0.180178613130862,1125,-0.033988543011253,0.785 to 1.868
AG.LND.AGRI.K2,Environment: Land use,Agricultural land (sq. km),,,,,,,,,,,0.229483866612355,1167,-0.0923362896116704,-2.151 to -0.732,0.0967565954611919,1169,0.0431708490969404,-0.728 to -0.004,0.16394049998866,1163,-0.0820715652256642,-0.004 to 0.782,0.161869476464441,1146,0.115928378393864,0.785 to 1.868
AG.LND.AGRI.ZS,Environment: Land use,Agricultural land (% of land area),0.116755454251449,0.24147641290846,0.191548964347872,0.1117437497726,0.189609911323853,0.22734728468681,0.105399681385907,0.101084452735631,0.240542785607372,0.182679356995243,0.21685936310076,1167,-0.0540769449051969,-2.151 to -0.732,0.0884590360983044,1169,0.0110422920603395,-0.728 to -0.004,0.230602487521802,1163,-0.184041381003816,-0.004 to 0.782,0.139935764863607,1146,-0.0183362182499266,0.785 to 1.868
AG.LND.ARBL.HA,Environment: Land use,Arable land (hectares),,,,,,,,,,,0.343191804418414,1149,-0.193516960939888,-2.151 to -0.732,0.169676426674514,1169,-0.137817862889081,-0.728 to -0.004,0.167427665042996,1163,0.0754487397129585,-0.004 to 0.782,0.147936850967272,1131,0.095184179815677,0.785 to 1.868
AG.LND.ARBL.HA.PC,Environment: Land use,Arable land (hectares per person),0.227859465408933,0.39614301036973,0.155319339845912,0.109806036400558,0.185987638770615,0.210702585896066,0.201940806309383,0.171243949860796,0.322616184095226,0.101943785501959,0.49094718604628,1149,-0.438769906465076,-2.151 to -0.732,0.158448906150606,1169,0.111449826502941,-0.728 to -0.004,0.237462504514543,1163,-0.00526801857697334,-0.004 to 0.782,0.138975502195191,1131,0.0584713811118321,0.785 to 1.868
AG.LND.ARBL.ZS,Environment: Land use,Arable land (% of land area),0.222337001869993,0.33001100528714,0.133672547579412,0.132410282366153,0.12237516393844,0.371731985596788,0.108680839521765,0.0872128955511847,0.0763050257839749,0.123296962997693,0.1989161482971,1167,-0.106079299826675,-2.151 to -0.732,0.195842209970164,1169,-0.144569590716351,-0.728 to -0.004,0.20362117544015,1163,0.158538215299798,-0.004 to 0.782,0.182259907631856,1137,-0.11187113062183,0.785 to 1.868
AG.LND.CREL.HA,Environment: Agricultural production,Land under cereal production (hectares),,,,,,,,,,,0.223435815373249,1179,-0.125243725553858,-2.151 to -0.732,0.170715382889057,1156,-0.136130133933933,-0.728 to -0.004,0.155439017527278,1124,0.0537606096309159,-0.004 to 0.782,0.150954548981029,1143,0.109274321158416,0.785 to 1.868
AG.LND.CROP.ZS,Environment: Land use,Permanent cropland (% of land area),0.152537950443711,0.151589531773589,0.134963452336536,0.148018277380702,0.155938933648097,0.35983594973774,0.124401655413923,0.127146522835542,0.220971263222635,0.172357277725126,0.127867848338522,1162,0.114042672996722,-2.151 to -0.732,0.169094082445244,1153,-0.00511045369480494,-0.728 to -0.004,0.170735409604943,1163,-0.130229012045539,-0.004 to 0.782,0.395057598244606,1110,-0.246711796426228,0.785 to 1.868
