Series Code,Topic,Indicator Name,iso1_all,iso2_all,iso3_all,iso4_all,iso5_all,iso6_all,iso7_all,iso8_all,iso9_all,iso10_all,iso3_0to25_0to25,N_0to25_0to25,Pearson_iso3_0to25_0to25,range_0to25_0to25,iso3_25to50_25to50,N_25to50_25to50,Pearson_iso3_25to50_25to50,range_25to50_25to50,iso3_50to75_50to75,N_50to75_50to75,Pearson_iso3_50to75_50to75,range_50to75_50to75,iso3_75to100_75to100,N_75to100_75to100,Pearson_iso3_75to100_75to100,range_75to100_75to100,iso3_shapley,N_shapley,Pearson_iso3_shapley,range_shapley
AG.AGR.TRAC.NO,Environment: Agricultural production,"Agricultural machinery, tractors",,,,,,,,,,,0,0,,-1.257 to -0.316,0,0,,-0.311 to 0.107,0,0,,0.108 to 0.328,0,0,,0.331 to 1.061,0,0,,-1.257_-0.248
AG.CON.FERT.PT.ZS,Environment: Agricultural production,Fertilizer consumption (% of fertilizer production),,,,,,,,,,,0.251909669006824,60,0.215533059022092,-1.257 to -0.316,0.294121804512304,29,0.223118221846357,-0.311 to 0.107,0.432629301700777,24,-0.427334872541524,0.108 to 0.328,0.37459014967899,42,-0.344790881664821,0.331 to 1.061,0.233069873531602,63,0.193207890460587,-1.257_-0.248
AG.CON.FERT.ZS,Environment: Agricultural production,Fertilizer consumption (kilograms per hectare of arable land),0.459213500492192,0.238923058616344,0.150975142401048,0.0868319438102966,0.270215010681722,0.120424531070446,0.141770344143445,0.12936455656704,0.110881292112393,0.100569687025558,0.258743677294227,81,-0.0909308471462583,-1.257 to -0.316,0.146058725476588,77,-0.0832629462334896,-0.311 to 0.107,0.192489260733214,72,0.0313173609642645,0.108 to 0.328,0.188368041109714,80,0.0707053622199916,0.331 to 1.061,0.22590543620056,92,-0.0839884212489475,-1.257_-0.248
AG.LND.AGRI.K2,Environment: Land use,Agricultural land (sq. km),,,,,,,,,,,0.225782316113802,90,0.115260140308141,-1.257 to -0.316,0.146266303268302,87,-0.0368336221996886,-0.311 to 0.107,0.140959213358843,87,-0.0820663677318574,0.108 to 0.328,0.300645509133894,86,0.209240583751426,0.331 to 1.061,0.195275598355359,105,0.0547907945674593,-1.257_-0.248
AG.LND.AGRI.ZS,Environment: Land use,Agricultural land (% of land area),0.116755454251449,0.24147641290846,0.191548964347872,0.1117437497726,0.189609911323853,0.22734728468681,0.105399681385907,0.101084452735631,0.240542785607372,0.182679356995243,0.307430896872242,90,0.277645257944651,-1.257 to -0.316,0.156193138693629,87,-0.0666731275350902,-0.311 to 0.107,0.15245882009185,87,0.0934749134810031,0.108 to 0.328,0.219517298176804,86,0.10060728551844,0.331 to 1.061,0.245009785510062,105,0.187004653598808,-1.257_-0.248
AG.LND.ARBL.HA,Environment: Land use,Arable land (hectares),,,,,,,,,,,0.215988397729064,90,0.110907542540029,-1.257 to -0.316,0.170567635135613,87,0.0371959251318396,-0.311 to 0.107,0.148308266595121,87,-0.0518628456913895,0.108 to 0.328,0.275029313789116,86,0.173611544500533,0.331 to 1.061,0.193142844181701,105,0.0498738509621083,-1.257_-0.248
AG.LND.ARBL.HA.PC,Environment: Land use,Arable land (hectares per person),0.227859465408933,0.39614301036973,0.155319339845912,0.109806036400558,0.185987638770615,0.210702585896066,0.201940806309383,0.171243949860796,0.322616184095226,0.101943785501959,0.31121529803352,90,0.237303023563727,-1.257 to -0.316,0.128390134645711,87,-0.072210972589074,-0.311 to 0.107,0.155197981748675,87,-0.0939833151405328,0.108 to 0.328,0.256507046202708,86,0.238368954777569,0.331 to 1.061,0.25209985177993,105,0.164145640342359,-1.257_-0.248
AG.LND.ARBL.ZS,Environment: Land use,Arable land (% of land area),0.222337001869993,0.33001100528714,0.133672547579412,0.132410282366153,0.12237516393844,0.371731985596788,0.108680839521765,0.0872128955511847,0.0763050257839749,0.123296962997693,0.296721436263846,90,0.25047606552009,-1.257 to -0.316,0.159968939707883,87,-0.0325679161729734,-0.311 to 0.107,0.166102087648348,87,0.0762495055320752,0.108 to 0.328,0.225778790736841,86,0.142254485295507,0.331 to 1.061,0.265172000912127,105,0.216663924508799,-1.257_-0.248
AG.LND.CREL.HA,Environment: Agricultural production,Land under cereal production (hectares),,,,,,,,,,,0.199803287239708,122,0.106158453469716,-1.257 to -0.316,0.17649241469449,120,-0.0858012799828053,-0.311 to 0.107,0.126496114904177,120,-0.0865801624129896,0.108 to 0.328,0.21035757983426,120,0.0911717837535023,0.331 to 1.061,0.181050812688242,145,0.0445632367863492,-1.257_-0.248
AG.LND.CROP.ZS,Environment: Land use,Permanent cropland (% of land area),0.152537950443711,0.151589531773589,0.134963452336536,0.148018277380702,0.155938933648097,0.35983594973774,0.124401655413923,0.127146522835542,0.220971263222635,0.172357277725126,0.161037670866409,88,-0.00370767778855664,-1.257 to -0.316,0.176757614695748,87,0.0154588120228069,-0.311 to 0.107,0.124015159939233,87,0.0153714112025765,0.108 to 0.328,0.281613137730266,84,-0.215276099758004,0.331 to 1.061,0.142577349721943,103,0.0115539512179412,-1.257_-0.248
