Series Code,Topic,Indicator Name,iso1_all_all,iso2_all_all,iso3_all_all,iso4_all_all,iso5_all_all,iso6_all_all,iso7_all_all,iso8_all_all,iso9_all_all,iso10_all_all,iso4_0to25,N_0to25,Pearson_iso4_0to25,range_0to25,iso4_25to50,N_25to50,Pearson_iso4_25to50,range_25to50,iso4_50to75,N_50to75,Pearson_iso4_50to75,range_50to75,iso4_75to100,N_75to100,Pearson_iso4_75to100,range_75to100
AG.AGR.TRAC.NO,Environment: Agricultural production,"Agricultural machinery, tractors",,,,,,,,,,,0.171441026759631,376,-0.0167923758754411,-2.712 to -0.657,0.168237753671992,373,0.0634892761021566,-0.656 to 0.111,0.126580150900908,354,0.116062286352017,0.114 to 0.764,0.264413120251686,307,-0.175447110802604,0.764 to 2.52
AG.CON.FERT.PT.ZS,Environment: Agricultural production,Fertilizer consumption (% of fertilizer production),,,,,,,,,,,0.345172643339303,492,-0.259503636510351,-2.712 to -0.657,0.0945900372300548,625,0.0537630907931567,-0.656 to 0.111,0.125975453469021,590,-0.118538746151895,0.114 to 0.764,0.206483065651622,456,0.146357473378527,0.764 to 2.52
AG.CON.FERT.ZS,Environment: Agricultural production,Fertilizer consumption (kilograms per hectare of arable land),0.459213500492192,0.238923058616344,0.150975142401048,0.0868319438102966,0.270215010681722,0.120424531070446,0.141770344143445,0.12936455656704,0.110881292112393,0.100569687025558,0.111342126730987,1118,-0.0522697893446168,-2.712 to -0.657,0.132318303759388,1037,-0.0356868363120444,-0.656 to 0.111,0.164508866208106,1085,0.0673862858933666,0.114 to 0.764,0.150821242012841,845,-0.117600012823798,0.764 to 2.52
AG.LND.AGRI.K2,Environment: Land use,Agricultural land (sq. km),,,,,,,,,,,0.0989347873600174,1162,0.0502806522755446,-2.712 to -0.657,0.0873251180018088,1168,-0.0152214923851347,-0.656 to 0.111,0.0702056107170576,1161,0.0298072713385548,0.114 to 0.764,0.119084411166232,1155,-0.0951152257042209,0.764 to 2.52
AG.LND.AGRI.ZS,Environment: Land use,Agricultural land (% of land area),0.116755454251449,0.24147641290846,0.191548964347872,0.1117437497726,0.189609911323853,0.22734728468681,0.105399681385907,0.101084452735631,0.240542785607372,0.182679356995243,0.21866030102739,1162,0.0131228131071725,-2.712 to -0.657,0.108662777279739,1168,0.0591308083272797,-0.656 to 0.111,0.0644923443092834,1161,0.0197396483879469,0.114 to 0.764,0.0790435480680379,1155,-0.0182115672623104,0.764 to 2.52
AG.LND.ARBL.HA,Environment: Land use,Arable land (hectares),,,,,,,,,,,0.163487760798615,1162,0.114829927148032,-2.712 to -0.657,0.0685544234188765,1159,-0.00458345098259612,-0.656 to 0.111,0.0743884815622254,1156,0.0270811915705676,0.114 to 0.764,0.152309669090406,1136,-0.111510350710212,0.764 to 2.52
AG.LND.ARBL.HA.PC,Environment: Land use,Arable land (hectares per person),0.227859465408933,0.39614301036973,0.155319339845912,0.109806036400558,0.185987638770615,0.210702585896066,0.201940806309383,0.171243949860796,0.322616184095226,0.101943785501959,0.119881947304405,1162,0.0796612816989287,-2.712 to -0.657,0.138971442204231,1159,-0.118926532243661,-0.656 to 0.111,0.0724198212295707,1156,0.00972384174566967,0.114 to 0.764,0.151677766048355,1136,-0.136640671876603,0.764 to 2.52
AG.LND.ARBL.ZS,Environment: Land use,Arable land (% of land area),0.222337001869993,0.33001100528714,0.133672547579412,0.132410282366153,0.12237516393844,0.371731985596788,0.108680839521765,0.0872128955511847,0.0763050257839749,0.123296962997693,0.152052693468267,1162,0.136186020736205,-2.712 to -0.657,0.111634593683529,1159,0.0738750168833363,-0.656 to 0.111,0.100665622476447,1161,-0.0760433551692782,0.114 to 0.764,0.152370763667115,1155,-0.131158156463449,0.764 to 2.52
AG.LND.CREL.HA,Environment: Agricultural production,Land under cereal production (hectares),,,,,,,,,,,0.230055907966951,1183,0.174931478418101,-2.712 to -0.657,0.0889575988425642,1140,0.0400099430991074,-0.656 to 0.111,0.0795231966728858,1127,-0.0318342553533199,0.114 to 0.764,0.132960778702826,1152,-0.121439081348404,0.764 to 2.52
AG.LND.CROP.ZS,Environment: Land use,Permanent cropland (% of land area),0.152537950443711,0.151589531773589,0.134963452336536,0.148018277380702,0.155938933648097,0.35983594973774,0.124401655413923,0.127146522835542,0.220971263222635,0.172357277725126,0.112485757355359,1162,-0.0067540877077587,-2.712 to -0.657,0.0825925472976355,1159,-0.00618429360244307,-0.656 to 0.111,0.0794179553259988,1150,-0.0444449087385318,0.114 to 0.764,0.128036220654022,1118,-0.100150056777893,0.764 to 2.52
