Series Code,Topic,Indicator Name,iso1_all,iso2_all,iso3_all,iso4_all,iso5_all,iso6_all,iso7_all,iso8_all,iso9_all,iso10_all,iso6_0to25_0to25,N_0to25_0to25,Pearson_iso6_0to25_0to25,range_0to25_0to25,iso6_25to50_25to50,N_25to50_25to50,Pearson_iso6_25to50_25to50,range_25to50_25to50,iso6_50to75_50to75,N_50to75_50to75,Pearson_iso6_50to75_50to75,range_50to75_50to75,iso6_75to100_75to100,N_75to100_75to100,Pearson_iso6_75to100_75to100,range_75to100_75to100,iso6_shapley,N_shapley,Pearson_iso6_shapley,range_shapley
AG.AGR.TRAC.NO,Environment: Agricultural production,"Agricultural machinery, tractors",,,,,,,,,,,0,0,,-0.908 to -0.066,0,0,,-0.062 to 0.127,0,0,,0.129 to 0.318,0,0,,0.318 to 0.999,0,0,,0.388_0.693
AG.CON.FERT.PT.ZS,Environment: Agricultural production,Fertilizer consumption (% of fertilizer production),,,,,,,,,,,0.367887447904644,43,0.277487999375559,-0.908 to -0.066,0.141975388254818,27,-0.0411211700011637,-0.062 to 0.127,0.363810890745592,36,0.307142797422266,0.129 to 0.318,0.238213175159031,49,0.220529143425383,0.318 to 0.999,0.388495803529228,20,-0.291149801402692,0.388_0.693
AG.CON.FERT.ZS,Environment: Agricultural production,Fertilizer consumption (kilograms per hectare of arable land),0.459213500492192,0.238923058616344,0.150975142401048,0.0868319438102966,0.270215010681722,0.120424531070446,0.141770344143445,0.12936455656704,0.110881292112393,0.100569687025558,0.202451792831086,76,0.0408069411209081,-0.908 to -0.066,0.152597248640538,76,0.109191766677784,-0.062 to 0.127,0.237273288044802,77,-0.236786690849745,0.129 to 0.318,0.252410844173658,80,0.164859546101499,0.318 to 0.999,0.157958185345145,38,-0.0979605850720434,0.388_0.693
AG.LND.AGRI.K2,Environment: Land use,Agricultural land (sq. km),,,,,,,,,,,0.174494035306498,88,0.099323088002465,-0.908 to -0.066,0.128791170642057,86,0.066771031049519,-0.062 to 0.127,0.149752081455992,87,-0.0311885451884303,0.129 to 0.318,0.167129270302969,88,0.107388961204414,0.318 to 0.999,0.356086321937979,41,0.346550255711417,0.388_0.693
AG.LND.AGRI.ZS,Environment: Land use,Agricultural land (% of land area),0.116755454251449,0.24147641290846,0.191548964347872,0.1117437497726,0.189609911323853,0.22734728468681,0.105399681385907,0.101084452735631,0.240542785607372,0.182679356995243,0.320646951069898,88,0.0387165304477338,-0.908 to -0.066,0.133938588540437,86,0.00697819797415636,-0.062 to 0.127,0.148389672364101,87,-0.00656914165887602,0.129 to 0.318,0.241909685220765,88,0.180472758190748,0.318 to 0.999,0.218868516171042,41,0.0684149903185413,0.388_0.693
AG.LND.ARBL.HA,Environment: Land use,Arable land (hectares),,,,,,,,,,,0.260404422146941,88,0.108486966345859,-0.908 to -0.066,0.165715602028771,86,-0.00735279102882977,-0.062 to 0.127,0.157596714310339,87,-0.103382958768414,0.129 to 0.318,0.223031279868983,88,0.183083588418319,0.318 to 0.999,0.296426352250462,41,0.277602998015399,0.388_0.693
AG.LND.ARBL.HA.PC,Environment: Land use,Arable land (hectares per person),0.227859465408933,0.39614301036973,0.155319339845912,0.109806036400558,0.185987638770615,0.210702585896066,0.201940806309383,0.171243949860796,0.322616184095226,0.101943785501959,0.266775568343853,88,0.184178226850897,-0.908 to -0.066,0.194293091394865,86,-0.152788961783127,-0.062 to 0.127,0.165156181831141,87,0.0656478543014523,0.129 to 0.318,0.20952482031444,88,-0.138095209064287,0.318 to 0.999,0.202170412015806,41,0.116655223254091,0.388_0.693
AG.LND.ARBL.ZS,Environment: Land use,Arable land (% of land area),0.222337001869993,0.33001100528714,0.133672547579412,0.132410282366153,0.12237516393844,0.371731985596788,0.108680839521765,0.0872128955511847,0.0763050257839749,0.123296962997693,0.317934314881912,88,0.231743638998823,-0.908 to -0.066,0.114937386498507,86,-0.0362267292072282,-0.062 to 0.127,0.143692488343564,87,0.0302968051292945,0.129 to 0.318,0.22735875026197,88,0.163574281048071,0.318 to 0.999,0.22039727710893,41,-0.106071068452199,0.388_0.693
AG.LND.CREL.HA,Environment: Agricultural production,Land under cereal production (hectares),,,,,,,,,,,0.234740819279641,120,0.139644795100119,-0.908 to -0.066,0.158831823046805,120,-0.00968009474641542,-0.062 to 0.127,0.109896149406366,121,-0.0241311711962648,0.129 to 0.318,0.243281164831367,121,0.213597819030474,0.318 to 0.999,0.366371621380306,61,0.373322461462282,0.388_0.693
AG.LND.CROP.ZS,Environment: Land use,Permanent cropland (% of land area),0.152537950443711,0.151589531773589,0.134963452336536,0.148018277380702,0.155938933648097,0.35983594973774,0.124401655413923,0.127146522835542,0.220971263222635,0.172357277725126,0.194774707467426,84,0.157906266670075,-0.908 to -0.066,0.148084437180164,86,0.136559021300888,-0.062 to 0.127,0.120781173936489,87,0.0170819635330539,0.129 to 0.318,0.357636402080255,88,0.221668891816045,0.318 to 0.999,0.33563998078226,41,0.246387427640462,0.388_0.693
