Series Code,Topic,Indicator Name,iso1_all,iso2_all,iso3_all,iso4_all,iso5_all,iso6_all,iso7_all,iso8_all,iso9_all,iso10_all,iso1_0to25,N_0to25,Pearson_iso1_0to25,range_0to25,iso1_25to50,N_25to50,Pearson_iso1_25to50,range_25to50,iso1_50to75,N_50to75,Pearson_iso1_50to75,range_50to75,iso1_75to100,N_75to100,Pearson_iso1_75to100,range_75to100,iso1,N,Pearson_iso1,range
AG.AGR.TRAC.NO,Environment: Agricultural production,"Agricultural machinery, tractors",,,,,,,,,,,0,0,,-2.188 to -0.645,0,0,,-0.634 to 0.161,0,0,,0.163 to 1.135,0,0,,1.142 to 2.135,0,0,,-0.113_2.148
AG.CON.FERT.PT.ZS,Environment: Agricultural production,Fertilizer consumption (% of fertilizer production),,,,,,,,,,,0.441188925914757,10,-0.327604773349321,-2.188 to -0.645,0.503901674870494,33,-0.363128187888744,-0.634 to 0.161,0.263613337128386,53,-0.167226402233213,0.163 to 1.135,0.1668424599539,59,0.065178946210928,1.142 to 2.135,0.165604332659637,132,0.121134192266078,-0.113_2.148
AG.CON.FERT.ZS,Environment: Agricultural production,Fertilizer consumption (kilograms per hectare of arable land),0.459213500492192,0.238923058616344,0.150975142401048,0.0868319438102966,0.270215010681722,0.120424531070446,0.141770344143445,0.12936455656704,0.110881292112393,0.100569687025558,0.50716785339955,63,0.536681935234867,-2.188 to -0.645,0.371822346442301,81,0.365049398731729,-0.634 to 0.161,0.282901078719374,81,0.0459988129208616,0.163 to 1.135,0.144387827363544,84,0.0614555372570937,1.142 to 2.135,0.194886992512839,203,0.0197693598783163,-0.113_2.148
AG.LND.AGRI.K2,Environment: Land use,Agricultural land (sq. km),,,,,,,,,,,0.315958419290149,90,-0.274364921647789,-2.188 to -0.645,0.186222056154904,90,-0.128068670622296,-0.634 to 0.161,0.192774442340181,85,-0.0416915221105711,0.163 to 1.135,0.200018412784888,84,0.114289390077541,1.142 to 2.135,0.163813975313928,211,-0.0132774424963598,-0.113_2.148
AG.LND.AGRI.ZS,Environment: Land use,Agricultural land (% of land area),0.116755454251449,0.24147641290846,0.191548964347872,0.1117437497726,0.189609911323853,0.22734728468681,0.105399681385907,0.101084452735631,0.240542785607372,0.182679356995243,0.261329644067639,90,-0.0638270279493529,-2.188 to -0.645,0.190815397691032,90,-0.0148863842798484,-0.634 to 0.161,0.306762775868866,85,-0.186645929861335,0.163 to 1.135,0.203964350498971,84,0.0429419884121845,1.142 to 2.135,0.157414680498593,211,0.0476482304178049,-0.113_2.148
AG.LND.ARBL.HA,Environment: Land use,Arable land (hectares),,,,,,,,,,,0.388727956018606,90,-0.139117489967142,-2.188 to -0.645,0.273211455472327,90,-0.220095471592795,-0.634 to 0.161,0.230992253562499,85,0.0726836383274579,0.163 to 1.135,0.204546691391209,84,0.127503098175772,1.142 to 2.135,0.113046215197009,211,0.0487939204214488,-0.113_2.148
AG.LND.ARBL.HA.PC,Environment: Land use,Arable land (hectares per person),0.227859465408933,0.39614301036973,0.155319339845912,0.109806036400558,0.185987638770615,0.210702585896066,0.201940806309383,0.171243949860796,0.322616184095226,0.101943785501959,0.610641184315044,90,-0.533518720215785,-2.188 to -0.645,0.222500448335222,90,-0.106833468926126,-0.634 to 0.161,0.253192339504007,85,-0.0282358019448998,0.163 to 1.135,0.202104390449058,84,0.0410361619408253,1.142 to 2.135,0.283613037138822,211,0.196099796918408,-0.113_2.148
AG.LND.ARBL.ZS,Environment: Land use,Arable land (% of land area),0.222337001869993,0.33001100528714,0.133672547579412,0.132410282366153,0.12237516393844,0.371731985596788,0.108680839521765,0.0872128955511847,0.0763050257839749,0.123296962997693,0.288896358047772,90,-0.0969719795919045,-2.188 to -0.645,0.182623752138095,90,-0.0801430380461284,-0.634 to 0.161,0.328993699290796,85,0.193959438996193,0.163 to 1.135,0.198774697507048,84,0.0232226521671248,1.142 to 2.135,0.370023468509922,211,0.344149721322491,-0.113_2.148
AG.LND.CREL.HA,Environment: Agricultural production,Land under cereal production (hectares),,,,,,,,,,,0.287122924353589,123,-0.100420083786512,-2.188 to -0.645,0.29205453363587,118,-0.254010702820003,-0.634 to 0.161,0.208175041627288,118,0.0877554821414644,0.163 to 1.135,0.22855140577147,123,0.177878228035913,1.142 to 2.135,0.10812628725892,300,0.0120886189120938,-0.113_2.148
AG.LND.CROP.ZS,Environment: Land use,Permanent cropland (% of land area),0.152537950443711,0.151589531773589,0.134963452336536,0.148018277380702,0.155938933648097,0.35983594973774,0.124401655413923,0.127146522835542,0.220971263222635,0.172357277725126,0.241880620138248,88,0.224766562317768,-2.188 to -0.645,0.238237628077551,90,0.18476154550109,-0.634 to 0.161,0.321079638818787,85,-0.291213825596299,0.163 to 1.135,0.317520458587097,82,-0.146361651394691,1.142 to 2.135,0.306435563515398,209,-0.312848341444018,-0.113_2.148
AG.LND.EL5M.RU.K2,Environment: Land use,Rural land area where elevation is below 5 meters (sq. km),,,,,,,,,,,0,0,,-2.188 to -0.645,0,0,,-0.634 to 0.161,0,0,,0.163 to 1.135,0,0,,1.142 to 2.135,0,0,,-0.113_2.148
AG.LND.EL5M.RU.ZS,Environment: Land use,Rural land area where elevation is below 5 meters (% of total land area),,,,,,,,,,,0,0,,-2.188 to -0.645,0,0,,-0.634 to 0.161,0,0,,0.163 to 1.135,0,0,,1.142 to 2.135,0,0,,-0.113_2.148
AG.LND.EL5M.UR.K2,Environment: Land use,Urban land area where elevation is below 5 meters (sq. km),,,,,,,,,,,0,0,,-2.188 to -0.645,0,0,,-0.634 to 0.161,0,0,,0.163 to 1.135,0,0,,1.142 to 2.135,0,0,,-0.113_2.148
AG.LND.EL5M.UR.ZS,Environment: Land use,Urban land area where elevation is below 5 meters (% of total land area),,,,,,,,,,,0,0,,-2.188 to -0.645,0,0,,-0.634 to 0.161,0,0,,0.163 to 1.135,0,0,,1.142 to 2.135,0,0,,-0.113_2.148
AG.LND.EL5M.ZS,Environment: Land use,Land area where elevation is below 5 meters (% of total land area),,,,,,,,,,,0,0,,-2.188 to -0.645,0,0,,-0.634 to 0.161,0,0,,0.163 to 1.135,0,0,,1.142 to 2.135,0,0,,-0.113_2.148
