Series Code,Topic,Indicator Name,iso1_all,iso2_all,iso3_all,iso4_all,iso5_all,iso6_all,iso7_all,iso8_all,iso9_all,iso10_all,iso1_0to25,N_0to25,Pearson_iso1_0to25,range_0to25,iso1_25to50,N_25to50,Pearson_iso1_25to50,range_25to50,iso1_50to75,N_50to75,Pearson_iso1_50to75,range_50to75,iso1_75to100,N_75to100,Pearson_iso1_75to100,range_75to100,iso1,N,Pearson_iso1,range
AG.AGR.TRAC.NO,Environment: Agricultural production,"Agricultural machinery, tractors",,,,,,,,,,,0.311487499247207,247,0.242414407040807,-2.473 to -0.841,0.198892053864011,401,-0.0943593855859063,-0.837 to -0.005,0.274799299232926,311,0.0469000687748877,-0.005 to 0.899,0.271582059253287,451,0.125093966529028,0.903 to 2.148,0.308177017354783,830,0.245174157881345,-0.113_2.148
AG.CON.FERT.PT.ZS,Environment: Agricultural production,Fertilizer consumption (% of fertilizer production),,,,,,,,,,,0.39577675787011,126,-0.318584703188277,-2.473 to -0.841,0.161117489854303,423,-0.0416490411448856,-0.837 to -0.005,0.192849766262742,762,-0.0817730089119272,-0.005 to 0.899,0.102372899487801,852,0.0369702591425975,0.903 to 2.148,0.117661031302521,1723,0.0372315422391768,-0.113_2.148
AG.CON.FERT.ZS,Environment: Agricultural production,Fertilizer consumption (kilograms per hectare of arable land),0.459213500492192,0.238923058616344,0.150975142401048,0.0868319438102966,0.270215010681722,0.120424531070446,0.141770344143445,0.12936455656704,0.110881292112393,0.100569687025558,0.355242310385941,839,0.387217217996075,-2.473 to -0.841,0.232218025756887,1001,0.232956551482079,-0.837 to -0.005,0.213485130045307,1119,0.196158371076076,-0.005 to 0.899,0.180178613130861,1125,-0.0339885430112531,0.903 to 2.148,0.140343163075752,2437,0.00711694395782252,-0.113_2.148
AG.LND.AGRI.K2,Environment: Land use,Agricultural land (sq. km),,,,,,,,,,,0.229483866612354,1167,-0.0923362896116704,-2.473 to -0.841,0.0967565954611941,1169,0.0431708490969404,-0.837 to -0.005,0.163940499988656,1163,-0.0820715652256642,-0.005 to 0.899,0.161869476464439,1146,0.115928378393864,0.903 to 2.148,0.158542782916219,2521,-0.0543502178504503,-0.113_2.148
AG.LND.AGRI.ZS,Environment: Land use,Agricultural land (% of land area),0.116755454251449,0.24147641290846,0.191548964347872,0.1117437497726,0.189609911323853,0.22734728468681,0.105399681385907,0.101084452735631,0.240542785607372,0.182679356995243,0.216859363100764,1167,-0.0540769449051969,-2.473 to -0.841,0.0884590360983039,1169,0.0110422920603395,-0.837 to -0.005,0.230602487521801,1163,-0.184041381003816,-0.005 to 0.899,0.139935764863606,1146,-0.0183362182499266,0.903 to 2.148,0.158260924826914,2521,0.0426728536218312,-0.113_2.148
AG.LND.ARBL.HA,Environment: Land use,Arable land (hectares),,,,,,,,,,,0.343191804418418,1149,-0.193516960939887,-2.473 to -0.841,0.169676426674511,1169,-0.137817862889081,-0.837 to -0.005,0.167427665042995,1163,0.0754487397129585,-0.005 to 0.899,0.147936850967275,1131,0.095184179815677,0.903 to 2.148,0.0929457930163666,2506,0.0272327599374216,-0.113_2.148
AG.LND.ARBL.HA.PC,Environment: Land use,Arable land (hectares per person),0.227859465408933,0.39614301036973,0.155319339845912,0.109806036400558,0.185987638770615,0.210702585896066,0.201940806309383,0.171243949860796,0.322616184095226,0.101943785501959,0.490947186046274,1149,-0.438769906465076,-2.473 to -0.841,0.15844890615061,1169,0.111449826502941,-0.837 to -0.005,0.237462504514546,1163,-0.00526801857697335,-0.005 to 0.899,0.138975502195192,1131,0.0584713811118321,0.903 to 2.148,0.272952302256415,2506,0.168050033814018,-0.113_2.148
AG.LND.ARBL.ZS,Environment: Land use,Arable land (% of land area),0.222337001869993,0.33001100528714,0.133672547579412,0.132410282366153,0.12237516393844,0.371731985596788,0.108680839521765,0.0872128955511847,0.0763050257839749,0.123296962997693,0.198916148297103,1167,-0.106079299826675,-2.473 to -0.841,0.195842209970159,1169,-0.144569590716351,-0.837 to -0.005,0.203621175440151,1163,0.158538215299798,-0.005 to 0.899,0.18225990763186,1137,-0.11187113062183,0.903 to 2.148,0.372855297870695,2512,0.331605058638348,-0.113_2.148
AG.LND.CREL.HA,Environment: Agricultural production,Land under cereal production (hectares),,,,,,,,,,,0.223435815373246,1179,-0.125243725553858,-2.473 to -0.841,0.17071538288905,1156,-0.136130133933933,-0.837 to -0.005,0.15543901752727,1124,0.0537606096309159,-0.005 to 0.899,0.150954548981037,1143,0.109274321158416,0.903 to 2.148,0.0912971805361835,2491,-0.00776958669389538,-0.113_2.148
AG.LND.CROP.ZS,Environment: Land use,Permanent cropland (% of land area),0.152537950443711,0.151589531773589,0.134963452336536,0.148018277380702,0.155938933648097,0.35983594973774,0.124401655413923,0.127146522835542,0.220971263222635,0.172357277725126,0.127867848338521,1162,0.114042672996722,-2.473 to -0.841,0.169094082445241,1153,-0.00511045369480494,-0.837 to -0.005,0.170735409604944,1163,-0.130229012045539,-0.005 to 0.899,0.395057598244619,1110,-0.246711796426228,0.903 to 2.148,0.266574581272773,2485,-0.268788685751917,-0.113_2.148
AG.LND.EL5M.RU.K2,Environment: Land use,Rural land area where elevation is below 5 meters (sq. km),,,,,,,,,,,0.15374867797357,91,0.095635522843152,-2.473 to -0.841,0.159102765712268,85,0.021248284037101,-0.837 to -0.005,0.18599965041942,90,-0.00506390466557456,-0.005 to 0.899,0.327609028649812,85,0.243564746603894,0.903 to 2.148,0.111356786867959,192,0.0151434620702245,-0.113_2.148
AG.LND.EL5M.RU.ZS,Environment: Land use,Rural land area where elevation is below 5 meters (% of total land area),,,,,,,,,,,0.243441235231332,91,0.00602806370584502,-2.473 to -0.841,0.166128607621002,85,0.0603627820493511,-0.837 to -0.005,0.212540292209344,90,0.107714740334487,-0.005 to 0.899,0.215542960470798,85,0.174093724026101,0.903 to 2.148,0.14246417799248,192,-0.035506327360579,-0.113_2.148
AG.LND.EL5M.UR.K2,Environment: Land use,Urban land area where elevation is below 5 meters (sq. km),,,,,,,,,,,0.155063961784649,91,-0.0348889652729554,-2.473 to -0.841,0.163103717330118,85,-0.0929756471595176,-0.837 to -0.005,0.148705236375052,90,-0.0973625399989838,-0.005 to 0.899,0.292784116463849,85,0.199418087919312,0.903 to 2.148,0.136479280272512,192,-0.0601098229625219,-0.113_2.148
AG.LND.EL5M.UR.ZS,Environment: Land use,Urban land area where elevation is below 5 meters (% of total land area),,,,,,,,,,,0.175591729020614,91,0.147646987116309,-2.473 to -0.841,0.161007323736771,85,-0.0692585461049733,-0.837 to -0.005,0.247405510921414,90,0.164215154408076,-0.005 to 0.899,0.154303686388756,85,0.118596055580518,0.903 to 2.148,0.122386214226674,192,0.0489635444103425,-0.113_2.148
AG.LND.EL5M.ZS,Environment: Land use,Land area where elevation is below 5 meters (% of total land area),,,,,,,,,,,0.246775958731978,91,0.00960711435431241,-2.473 to -0.841,0.160717000198992,85,0.0497522332148293,-0.837 to -0.005,0.23148429625724,90,0.129113269460229,-0.005 to 0.899,0.202279964653214,85,0.163881730372816,0.903 to 2.148,0.133796749175512,192,-0.0233409811035712,-0.113_2.148
AG.LND.FRST.K2,Environment: Land use,Forest area (sq. km),,,,,,,,,,,0.141806489667685,1167,-0.105888136196227,-2.473 to -0.841,0.119640097998161,1169,0.0519592555273424,-0.837 to -0.005,0.17677488591237,1163,0.108423356596416,-0.005 to 0.899,0.233266222477083,1127,0.15877457867158,0.903 to 2.148,0.10764045227593,2502,0.00682327667799877,-0.113_2.148
AG.LND.FRST.ZS,Environment: Land use,Forest area (% of land area),0.14437971884929,0.179344839473408,0.40076509892694,0.242002894149643,0.142770622297763,0.170842259007334,0.0844053438751156,0.0699052887021912,0.164298185281209,0.253022518581855,0.2074941424523,1167,0.162586131620956,-2.473 to -0.841,0.118262049003163,1169,-0.0796570597656832,-0.837 to -0.005,0.102647265650875,1163,-0.0206767616835003,-0.005 to 0.899,0.127888364544801,1127,0.02667354270387,0.903 to 2.148,0.234600360217695,2502,0.104932149710861,-0.113_2.148
AG.LND.IRIG.AG.ZS,Environment: Land use,Agricultural irrigated land (% of total agricultural land),,,,,,,,,,,0.509274631536204,90,0.534528302670974,-2.473 to -0.841,0.477614066380003,224,-0.406326137187761,-0.837 to -0.005,0.183024906226081,279,-0.0543542330510778,-0.005 to 0.899,0.170770431641019,384,-0.144399781889478,0.903 to 2.148,0.233777740430717,710,-0.185010659662959,-0.113_2.148
AG.LND.PRCP.MM,Environment: Land use,Average precipitation in depth (mm per year),0.248630606084743,0.292627867862154,0.546322557983565,0.306359133334262,0.170964788964809,0.138157441337065,0.113811832493701,0.081600592176613,0.18962012926834,0.243862406974428,0.28986088594488,1149,0.238838169328083,-2.473 to -0.841,0.137637285686105,1148,-0.0966368151876578,-0.837 to -0.005,0.120861684203397,1163,-0.0272119427833832,-0.005 to 0.899,0.214120899610301,1109,0.131559069142651,0.903 to 2.148,0.341370090993275,2483,-0.156702958597867,-0.113_2.148
AG.LND.TOTL.K2,Environment: Land use,Land area (sq. km),,,,,,,,,,,0.221790103636067,1167,-0.185603284784293,-2.473 to -0.841,0.115527606057169,1169,0.0927047617712122,-0.837 to -0.005,0.22455874720181,1163,0.0615443103896759,-0.005 to 0.899,0.217609312596454,1146,0.170827187119657,0.903 to 2.148,0.168247117634197,2521,-0.0100421733418869,-0.113_2.148
AG.LND.TOTL.RU.K2,Environment: Land use,Rural land area (sq. km),,,,,,,,,,,0.214041869206086,91,-0.139575434216771,-2.473 to -0.841,0.134732558965204,85,0.0375210584578829,-0.837 to -0.005,0.226811087408357,90,0.0296567580118871,-0.005 to 0.899,0.262613404472583,85,0.229202920605663,0.903 to 2.148,0.186137444350682,192,-0.00725326110993087,-0.113_2.148
AG.LND.TOTL.UR.K2,Environment: Land use,Urban land area (sq. km),,,,,,,,,,,0.231194820982813,91,0.00925496924501292,-2.473 to -0.841,0.209244544824965,85,-0.129010129698046,-0.837 to -0.005,0.144842761557024,90,-0.0633209877345254,-0.005 to 0.899,0.236684066540143,85,0.176716521232898,0.903 to 2.148,0.111043752721043,192,-0.0276319188889617,-0.113_2.148
AG.LND.TRAC.ZS,Environment: Agricultural production,"Agricultural machinery, tractors per 100 sq. km of arable land",,,,,,,,,,,0.500499499282642,232,0.430349125731187,-2.473 to -0.841,0.336160456154516,401,0.285148101632001,-0.837 to -0.005,0.247759294883989,311,0.212324617450285,-0.005 to 0.899,0.26962772330373,451,0.182804059267815,0.903 to 2.148,0.558558323442564,830,0.444876207757105,-0.113_2.148
AG.PRD.CREL.MT,Environment: Agricultural production,Cereal production (metric tons),,,,,,,,,,,0.208007159010263,1179,-0.0290289115478296,-2.473 to -0.841,0.147428011444643,1156,-0.0806334992571834,-0.837 to -0.005,0.101236774876744,1124,0.0244206723114298,-0.005 to 0.899,0.188104922961757,1143,0.132507920363899,0.903 to 2.148,0.113611095887665,2491,0.0345237762959911,-0.113_2.148
AG.PRD.CROP.XD,Environment: Agricultural production,Crop production index (2014-2016 = 100),0.255094674680904,0.141271251255101,0.100842387740219,0.103646812663773,0.138000888279721,0.230382703443335,0.0660764393319365,0.360038697293083,0.0736346871299629,0.0679588404908267,0.285348229331537,1182,0.27275394531366,-2.473 to -0.841,0.180408811703813,1200,0.163911393422076,-0.837 to -0.005,0.174492252902314,1200,0.177656736126141,-0.005 to 0.899,0.113001599271509,1178,-0.0302231501961231,0.903 to 2.148,0.149045691053893,2604,0.0344269991758603,-0.113_2.148
AG.PRD.FOOD.XD,Environment: Agricultural production,Food production index (2014-2016 = 100),0.309699980468995,0.0976175214763597,0.109047681027249,0.124689825078561,0.201533783596122,0.247977235010578,0.0782621416017466,0.402799574627857,0.0905251597591907,0.0790641002151178,0.331255903883028,1182,0.297877921130304,-2.473 to -0.841,0.151306159102379,1200,0.133738597961894,-0.837 to -0.005,0.184129136873129,1200,0.173626468169331,-0.005 to 0.899,0.164339019611418,1178,0.00950566835398389,0.903 to 2.148,0.243494183781085,2604,0.176695477071607,-0.113_2.148
AG.PRD.LVSK.XD,Environment: Agricultural production,Livestock production index (2014-2016 = 100),0.293686504393465,0.0971250994433496,0.126732152351391,0.127957552208611,0.218426480656205,0.199905503769803,0.126117987765505,0.33128800310518,0.11403534232316,0.0864812776167465,0.35466282173275,1182,0.277595186700838,-2.473 to -0.841,0.141550049164371,1200,0.108799166145838,-0.837 to -0.005,0.15254936907243,1200,0.120902434503015,-0.005 to 0.899,0.206839655225584,1178,-0.0297136218701828,0.903 to 2.148,0.295098211675443,2604,0.242355234400514,-0.113_2.148
AG.SRF.TOTL.K2,Environment: Land use,Surface area (sq. km),,,,,,,,,,,0.226122148647768,1167,-0.187719230821754,-2.473 to -0.841,0.116153790272087,1169,0.0843807581900225,-0.837 to -0.005,0.225647575918222,1163,0.0655959937647763,-0.005 to 0.899,0.219695395389402,1146,0.174094812506023,0.903 to 2.148,0.166043624164029,2521,-0.00272581998414127,-0.113_2.148
AG.YLD.CREL.KG,Environment: Agricultural production,Cereal yield (kg per hectare),0.648379078886755,0.144587931986806,0.176287016158228,0.229235089858505,0.191502263193347,0.118712297950383,0.144798924069665,0.0949813826603636,0.152487722080897,0.0925708840883526,0.322760523800665,1179,0.307427888759871,-2.473 to -0.841,0.164629005270325,1156,0.17197085676894,-0.837 to -0.005,0.285583536250225,1124,0.210923804360749,-0.005 to 0.899,0.473045481434348,1139,0.480496121534113,0.903 to 2.148,0.401468830566534,2487,0.22472082720018,-0.113_2.148
BG.GSR.NFSV.GD.ZS,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income",Trade in services (% of GDP),0.252490479442604,0.186311723474101,0.105875873311016,0.129713329190997,0.237656498138462,0.0938364981737567,0.177434758706514,0.1192543458953,0.263649563547899,0.176751259562108,0.381813931265044,955,0.27829713201079,-2.473 to -0.841,0.115095417954273,1108,-0.034099272344741,-0.837 to -0.005,0.227289075091772,1082,0.212377971777528,-0.005 to 0.899,0.125148140660646,1118,0.0602083517252966,0.903 to 2.148,0.171145572244094,2410,0.162724716889067,-0.113_2.148
