Series Code,Topic,Indicator Name,iso1_all,iso2_all,iso3_all,iso4_all,iso5_all,iso6_all,iso7_all,iso8_all,iso9_all,iso10_all,iso3_0to25_0to25,N_0to25_0to25,Pearson_iso3_0to25_0to25,range_0to25_0to25,iso3_25to50_25to50,N_25to50_25to50,Pearson_iso3_25to50_25to50,range_25to50_25to50,iso3_50to75_50to75,N_50to75_50to75,Pearson_iso3_50to75_50to75,range_50to75_50to75,iso3_75to100_75to100,N_75to100_75to100,Pearson_iso3_75to100_75to100,range_75to100_75to100,iso3_shapley,N_shapley,Pearson_iso3_shapley,range_shapley
AG.AGR.TRAC.NO,Environment: Agricultural production,"Agricultural machinery, tractors",,,,,,,,,,,0.147040948064769,562,0.0476365012295975,-1.356 to -0.395,0.148229275522192,282,0.0337667937090837,-0.395 to 0.12,0.162124831846008,260,0.118023462295158,0.121 to 0.386,0.283591703295096,306,0.236202567602441,0.386 to 1.061,0.133956087285286,636,0.0214418049560166,-1.257_-0.248
AG.CON.FERT.PT.ZS,Environment: Agricultural production,Fertilizer consumption (% of fertilizer production),,,,,,,,,,,0.0959287340788817,866,0.0593894087518985,-1.356 to -0.395,0.120266203944538,402,0.0497341884412125,-0.395 to 0.12,0.1649375758479,370,0.176661192792302,0.121 to 0.386,0.201631921749607,525,-0.132501801573057,0.386 to 1.061,0.159560846187967,989,0.0850875508039531,-1.257_-0.248
AG.CON.FERT.ZS,Environment: Agricultural production,Fertilizer consumption (kilograms per hectare of arable land),0.459213500492192,0.238923058616344,0.150975142401048,0.0868319438102966,0.270215010681722,0.120424531070446,0.141770344143445,0.12936455656704,0.110881292112393,0.100569687025558,0.103294646296025,1092,0.042883488163417,-1.356 to -0.395,0.0897507871754408,930,-0.0402690282197903,-0.395 to 0.12,0.169230484329536,1015,0.155138566756865,0.121 to 0.386,0.183625825565652,1048,-0.0725685881575327,0.386 to 1.061,0.0919739606449832,1299,-0.00189361920147494,-1.257_-0.248
AG.LND.AGRI.K2,Environment: Land use,Agricultural land (sq. km),,,,,,,,,,,0.157619750011874,1174,0.0400275587080326,-1.356 to -0.395,0.117595955886418,1150,-0.0583138121272523,-0.395 to 0.12,0.0735198631041426,1164,-0.0233097679018011,0.121 to 0.386,0.241204981138364,1158,0.174233523109611,0.386 to 1.061,0.157849034532717,1432,-0.0492323164713029,-1.257_-0.248
AG.LND.AGRI.ZS,Environment: Land use,Agricultural land (% of land area),0.116755454251449,0.24147641290846,0.191548964347872,0.1117437497726,0.189609911323853,0.22734728468681,0.105399681385907,0.101084452735631,0.240542785607372,0.182679356995243,0.209667898266744,1174,0.15404582898008,-1.356 to -0.395,0.217494452769845,1150,-0.210223788352809,-0.395 to 0.12,0.0843611490676022,1164,-0.0455516075680421,0.121 to 0.386,0.180052140102986,1158,0.0995393910654366,0.386 to 1.061,0.201013582571232,1432,0.139419356313075,-1.257_-0.248
AG.LND.ARBL.HA,Environment: Land use,Arable land (hectares),,,,,,,,,,,0.133540510013928,1153,0.0893497680767937,-1.356 to -0.395,0.128246509760636,1144,-0.00769733799259261,-0.395 to 0.12,0.0885010080644475,1159,0.0188401680524506,0.121 to 0.386,0.231164402112619,1157,0.181730696892638,0.386 to 1.061,0.113885184208608,1406,-0.00594009529793994,-1.257_-0.248
AG.LND.ARBL.HA.PC,Environment: Land use,Arable land (hectares per person),0.227859465408933,0.39614301036973,0.155319339845912,0.109806036400558,0.185987638770615,0.210702585896066,0.201940806309383,0.171243949860796,0.322616184095226,0.101943785501959,0.106586205306326,1153,0.0659237376299739,-1.356 to -0.395,0.153200555089958,1144,-0.0818868694476308,-0.395 to 0.12,0.0964330171673233,1159,0.0361459874430532,0.121 to 0.386,0.200197659540328,1157,0.180951483715736,0.386 to 1.061,0.109899383136378,1406,-0.010617779577749,-1.257_-0.248
AG.LND.ARBL.ZS,Environment: Land use,Arable land (% of land area),0.222337001869993,0.33001100528714,0.133672547579412,0.132410282366153,0.12237516393844,0.371731985596788,0.108680839521765,0.0872128955511847,0.0763050257839749,0.123296962997693,0.253615120035605,1165,0.226372564932281,-1.356 to -0.395,0.121431226930416,1150,-0.0865264398454657,-0.395 to 0.12,0.0823164705768125,1164,0.0287046065557156,0.121 to 0.386,0.158273030802462,1158,0.114735028780553,0.386 to 1.061,0.231805156982075,1423,0.187142477553441,-1.257_-0.248
AG.LND.CREL.HA,Environment: Agricultural production,Land under cereal production (hectares),,,,,,,,,,,0.132369275857623,1165,0.10171432617706,-1.356 to -0.395,0.126782010211859,1150,-0.0710788121638911,-0.395 to 0.12,0.0730134504719023,1122,0.0330541563827303,0.121 to 0.386,0.218201417447324,1165,0.150608881570116,0.386 to 1.061,0.100853997707597,1438,0.0110531064656284,-1.257_-0.248
AG.LND.CROP.ZS,Environment: Land use,Permanent cropland (% of land area),0.152537950443711,0.151589531773589,0.134963452336536,0.148018277380702,0.155938933648097,0.35983594973774,0.124401655413923,0.127146522835542,0.220971263222635,0.172357277725126,0.125208713044384,1145,-0.0116199985862918,-1.356 to -0.395,0.198758630284707,1149,0.124436580297759,-0.395 to 0.12,0.0782982615041287,1164,-0.00205360941414567,0.121 to 0.386,0.302733309558344,1131,-0.267585582189525,0.386 to 1.061,0.103076975558942,1402,-0.0046150590966229,-1.257_-0.248
AG.LND.EL5M.RU.K2,Environment: Land use,Rural land area where elevation is below 5 meters (sq. km),,,,,,,,,,,0.173585519595448,90,0.0127434821616004,-1.356 to -0.395,0.16771478759699,86,0.00327410363526963,-0.395 to 0.12,0.181198469791348,91,0.102875646906875,0.121 to 0.386,0.248729634476185,84,0.153732467663426,0.386 to 1.061,0.177321634731257,107,-0.0471999354934675,-1.257_-0.248
AG.LND.EL5M.RU.ZS,Environment: Land use,Rural land area where elevation is below 5 meters (% of total land area),,,,,,,,,,,0.158942130884641,90,0.0785297957967639,-1.356 to -0.395,0.163664233717772,86,0.120283009073783,-0.395 to 0.12,0.161586560809544,91,0.0713297745873837,0.121 to 0.386,0.207494145506061,84,0.190861794421612,0.386 to 1.061,0.168824816364205,107,0.0719555354758309,-1.257_-0.248
AG.LND.EL5M.UR.K2,Environment: Land use,Urban land area where elevation is below 5 meters (sq. km),,,,,,,,,,,0.199678647573213,90,-0.0271352048357121,-1.356 to -0.395,0.154215415645053,86,-0.095505346452209,-0.395 to 0.12,0.187866874621689,91,0.138077131557774,0.121 to 0.386,0.169514811755462,84,3.18032011039148e-05,0.386 to 1.061,0.205570609368159,107,-0.0812829897534353,-1.257_-0.248
AG.LND.EL5M.UR.ZS,Environment: Land use,Urban land area where elevation is below 5 meters (% of total land area),,,,,,,,,,,0.133791494014806,90,0.0196325770590132,-1.356 to -0.395,0.127569089770948,86,0.0129438413444317,-0.395 to 0.12,0.19637998750205,91,0.0629587966944006,0.121 to 0.386,0.193325523807618,84,0.165148906072645,0.386 to 1.061,0.127241345571232,107,-0.0189305886656531,-1.257_-0.248
AG.LND.EL5M.ZS,Environment: Land use,Land area where elevation is below 5 meters (% of total land area),,,,,,,,,,,0.153778753449781,90,0.0567219531515535,-1.356 to -0.395,0.161332575423605,86,0.115097324141966,-0.395 to 0.12,0.15735940702524,91,0.0746032126445618,0.121 to 0.386,0.205695235154047,84,0.188197012355213,0.386 to 1.061,0.161129455149512,107,0.0371297846615643,-1.257_-0.248
AG.LND.FRST.K2,Environment: Land use,Forest area (sq. km),,,,,,,,,,,0.0771765151881664,1165,0.0568677521973027,-1.356 to -0.395,0.131577173894829,1150,0.0947687891940443,-0.395 to 0.12,0.0793741518772883,1155,0.0430841399538056,0.121 to 0.386,0.228673815845998,1157,0.169016932792043,0.386 to 1.061,0.069420425102565,1423,0.00087800216006694,-1.257_-0.248
AG.LND.FRST.ZS,Environment: Land use,Forest area (% of land area),0.14437971884929,0.179344839473408,0.40076509892694,0.242002894149643,0.142770622297763,0.170842259007334,0.0844053438751156,0.0699052887021912,0.164298185281209,0.253022518581855,0.400975370939789,1165,0.397964450171281,-1.356 to -0.395,0.198003039732894,1150,0.155607566775829,-0.395 to 0.12,0.0705403828022602,1155,0.0580736791167953,0.121 to 0.386,0.283835493255758,1157,-0.294188714166782,0.386 to 1.061,0.439484818048667,1423,0.42847213571571,-1.257_-0.248
AG.LND.IRIG.AG.ZS,Environment: Land use,Agricultural irrigated land (% of total agricultural land),,,,,,,,,,,0.26177195240609,358,0.208907790018218,-1.356 to -0.395,0.186061904667758,260,-0.00628408686813117,-0.395 to 0.12,0.229218185855441,155,-0.062746669587726,0.121 to 0.386,0.18634675618326,204,-0.021555081662104,0.386 to 1.061,0.214247903140255,429,0.151195301077048,-1.257_-0.248
AG.LND.PRCP.MM,Environment: Land use,Average precipitation in depth (mm per year),0.248630606084743,0.292627867862154,0.546322557983565,0.306359133334262,0.170964788964809,0.138157441337065,0.113811832493701,0.081600592176613,0.18962012926834,0.243862406974428,0.437866630223817,1124,0.445959651599715,-1.356 to -0.395,0.278044865134577,1122,0.288902941925597,-0.395 to 0.12,0.0857966432571421,1160,0.0553278830037206,0.121 to 0.386,0.256316813757901,1164,-0.207701417642136,0.386 to 1.061,0.500525732778658,1376,0.508609036529097,-1.257_-0.248
AG.LND.TOTL.K2,Environment: Land use,Land area (sq. km),,,,,,,,,,,0.182408373281005,1174,-0.0151968716185672,-1.356 to -0.395,0.107714323042496,1150,0.0172159768780464,-0.395 to 0.12,0.0783574548774165,1164,0.0135309626336824,0.121 to 0.386,0.26597792346722,1158,0.194396431058112,0.386 to 1.061,0.203706560772924,1432,-0.0805534042315566,-1.257_-0.248
AG.LND.TOTL.RU.K2,Environment: Land use,Rural land area (sq. km),,,,,,,,,,,0.18987266840345,90,-0.0209724449762879,-1.356 to -0.395,0.145865815616355,86,-0.000109180091195457,-0.395 to 0.12,0.141626169901618,91,0.0453040008705846,0.121 to 0.386,0.239152973211088,84,0.166348466185735,0.386 to 1.061,0.19221868421709,107,-0.0672205333527811,-1.257_-0.248
AG.LND.TOTL.UR.K2,Environment: Land use,Urban land area (sq. km),,,,,,,,,,,0.212851823682369,90,0.064884740212702,-1.356 to -0.395,0.214981387196798,86,-0.13908921793248,-0.395 to 0.12,0.167232173847278,91,0.0550949273674449,0.121 to 0.386,0.159604166438445,84,0.0309571707882627,0.386 to 1.061,0.189603573307456,107,-0.00295184650152851,-1.257_-0.248
