Series Code,Topic,Indicator Name,iso1_all,iso2_all,iso3_all,iso4_all,iso5_all,iso6_all,iso7_all,iso8_all,iso9_all,iso10_all,iso6_0to25_0to25,N_0to25_0to25,Pearson_iso6_0to25_0to25,range_0to25_0to25,iso6_25to50_25to50,N_25to50_25to50,Pearson_iso6_25to50_25to50,range_25to50_25to50,iso6_50to75_50to75,N_50to75_50to75,Pearson_iso6_50to75_50to75,range_50to75_50to75,iso6_75to100_75to100,N_75to100_75to100,Pearson_iso6_75to100_75to100,range_75to100_75to100,iso6_shapley,N_shapley,Pearson_iso6_shapley,range_shapley
AG.AGR.TRAC.NO,Environment: Agricultural production,"Agricultural machinery, tractors",,,,,,,,,,,0.261766570746451,409,0.212686255211023,-1.085 to -0.215,0.124263975521253,375,-0.0772268488312436,-0.214 to 0.004,0.186438609247121,300,0.175734525230349,0.004 to 0.246,0.167023319907379,326,0.11596804338086,0.247 to 0.999,0.199587807364372,180,0.128272991109446,0.388_0.693
AG.CON.FERT.PT.ZS,Environment: Agricultural production,Fertilizer consumption (% of fertilizer production),,,,,,,,,,,0.110576888899512,609,0.00437980129736917,-1.085 to -0.215,0.0862882113102744,476,-0.02345699157988,-0.214 to 0.004,0.0962956841423943,461,-0.0666095492455471,0.004 to 0.246,0.159442291696708,617,0.125874810695713,0.247 to 0.999,0.153378328333179,325,0.122217561333999,0.388_0.693
AG.CON.FERT.ZS,Environment: Agricultural production,Fertilizer consumption (kilograms per hectare of arable land),0.459213500492192,0.238923058616344,0.150975142401048,0.0868319438102966,0.270215010681722,0.120424531070446,0.141770344143445,0.12936455656704,0.110881292112393,0.100569687025558,0.178623696283448,1054,-0.107841628472529,-1.085 to -0.215,0.103347032072178,1073,0.0836411791957898,-0.214 to 0.004,0.0856897621750122,974,-0.0733130558095963,0.004 to 0.246,0.159028797272761,983,0.0717825275473599,0.247 to 0.999,0.176977297447136,467,0.0362705577178664,0.388_0.693
AG.LND.AGRI.K2,Environment: Land use,Agricultural land (sq. km),,,,,,,,,,,0.145908213644585,1181,0.131010600935751,-1.085 to -0.215,0.108601868789456,1170,-0.0955056579159511,-0.214 to 0.004,0.0531781134179559,1149,0.0278400310211698,0.004 to 0.246,0.166781179764131,1145,0.0660256637292849,0.247 to 0.999,0.183030480916165,522,0.167137074220369,0.388_0.693
AG.LND.AGRI.ZS,Environment: Land use,Agricultural land (% of land area),0.116755454251449,0.24147641290846,0.191548964347872,0.1117437497726,0.189609911323853,0.22734728468681,0.105399681385907,0.101084452735631,0.240542785607372,0.182679356995243,0.13709885717776,1181,-0.0483880355472405,-1.085 to -0.215,0.0545664242694589,1170,-0.013739515859254,-0.214 to 0.004,0.0615788737926528,1149,0.0515356741737795,0.004 to 0.246,0.242028951568973,1145,0.210603106498687,0.247 to 0.999,0.128289209718606,522,-0.0739033933309307,0.388_0.693
AG.LND.ARBL.HA,Environment: Land use,Arable land (hectares),,,,,,,,,,,0.23590611357454,1181,0.155118102565994,-1.085 to -0.215,0.0938917159524828,1170,-0.0711197055363826,-0.214 to 0.004,0.0705861708474522,1140,0.052193345792531,0.004 to 0.246,0.226681810711829,1121,0.186822365239013,0.247 to 0.999,0.228394400752956,514,0.207294535302597,0.388_0.693
AG.LND.ARBL.HA.PC,Environment: Land use,Arable land (hectares per person),0.227859465408933,0.39614301036973,0.155319339845912,0.109806036400558,0.185987638770615,0.210702585896066,0.201940806309383,0.171243949860796,0.322616184095226,0.101943785501959,0.293738020417463,1181,0.245399291944643,-1.085 to -0.215,0.156058855583877,1170,-0.155950671321569,-0.214 to 0.004,0.10431240791321,1140,-0.0705373793381387,0.004 to 0.246,0.124642392472174,1121,-0.128455197311027,0.247 to 0.999,0.159738060260159,514,-0.111055823542062,0.388_0.693
AG.LND.ARBL.ZS,Environment: Land use,Arable land (% of land area),0.222337001869993,0.33001100528714,0.133672547579412,0.132410282366153,0.12237516393844,0.371731985596788,0.108680839521765,0.0872128955511847,0.0763050257839749,0.123296962997693,0.295478640095753,1181,0.278396385839989,-1.085 to -0.215,0.0673238895435501,1170,-0.0235272789409065,-0.214 to 0.004,0.135622206275124,1140,0.118360063487451,0.004 to 0.246,0.197358340288112,1145,0.183040173090712,0.247 to 0.999,0.141561018826912,522,0.00959888487022313,0.388_0.693
AG.LND.CREL.HA,Environment: Agricultural production,Land under cereal production (hectares),,,,,,,,,,,0.230921199790422,1151,0.169608397174814,-1.085 to -0.215,0.080183312610179,1161,-0.0595855900021272,-0.214 to 0.004,0.0923308106001956,1146,0.0812521117638367,0.004 to 0.246,0.222841476326132,1144,0.185836093723117,0.247 to 0.999,0.238523169956215,534,0.226652413923063,0.388_0.693
AG.LND.CROP.ZS,Environment: Land use,Permanent cropland (% of land area),0.152537950443711,0.151589531773589,0.134963452336536,0.148018277380702,0.155938933648097,0.35983594973774,0.124401655413923,0.127146522835542,0.220971263222635,0.172357277725126,0.177787164606652,1175,0.152222171687353,-1.085 to -0.215,0.135498255501751,1148,0.112482267903093,-0.214 to 0.004,0.0662610126914527,1121,0.0248223382552233,0.004 to 0.246,0.194748661254656,1144,0.151939779202444,0.247 to 0.999,0.148228934742492,522,0.0608918918482006,0.388_0.693
AG.LND.EL5M.RU.K2,Environment: Land use,Rural land area where elevation is below 5 meters (sq. km),,,,,,,,,,,0.290991634120205,76,0.128662797297291,-1.085 to -0.215,0.119481569930135,86,-0.0777538054849313,-0.214 to 0.004,0.201300808179964,101,0.128730012001099,0.004 to 0.246,0.164203127705295,88,-0.0189008407924058,0.247 to 0.999,0.259584962266866,41,0.245684213172356,0.388_0.693
AG.LND.EL5M.RU.ZS,Environment: Land use,Rural land area where elevation is below 5 meters (% of total land area),,,,,,,,,,,0.187447313360336,76,-0.000519081191501972,-1.085 to -0.215,0.180014213350138,86,-0.0070349626442134,-0.214 to 0.004,0.204058526270199,101,0.185382574628221,0.004 to 0.246,0.149602374582082,88,-0.0932543463709799,0.247 to 0.999,0.194898772512757,41,-0.118094183444345,0.388_0.693
AG.LND.EL5M.UR.K2,Environment: Land use,Urban land area where elevation is below 5 meters (sq. km),,,,,,,,,,,0.22409780275054,76,0.173555717774206,-1.085 to -0.215,0.112413914804083,86,0.0158159256215671,-0.214 to 0.004,0.222808624667833,101,0.20579616310062,0.004 to 0.246,0.268549340114668,88,0.236827867840588,0.247 to 0.999,0.327677945419144,41,0.262643871391136,0.388_0.693
AG.LND.EL5M.UR.ZS,Environment: Land use,Urban land area where elevation is below 5 meters (% of total land area),,,,,,,,,,,0.188746403500335,76,-0.140050211400399,-1.085 to -0.215,0.250748046554062,86,0.214053105875748,-0.214 to 0.004,0.131749345779498,101,-0.0400016298080042,0.004 to 0.246,0.222007157822802,88,0.194922278030021,0.247 to 0.999,0.233629010284302,41,0.033872228912651,0.388_0.693
